target_id,model_name
_C0025,Phosphorylase kinase
_C0026,Proteasome
_C0026_HUMAN,Proteasome
_C0026_MOUSE,Proteasome
_C0026_TETTS,Proteasome
_C0027_HUMAN,Protein farnesyltransferase
_C0031,Ribonucleoside-diphosphate reductase
_C0031_CACT,Ribonucleoside-diphosphate reductase
_C0031_HHV,Ribonucleoside-diphosphate reductase
_C0032_BOVIN,Phosphodiesterase 6
_C0032_HUMAN,Phosphodiesterase 6
_C0034_HUMAN,Calcineurin
_C0036_CANLF,Sodium/potassium-transporting ATPase
_C0036_HUMAN,Sodium/potassium-transporting ATPase
_C0037_HUMAN,SUMO-activating enzyme
_C0041_CRIGR,Voltage-gated L-type calcium channel
_C0041_HUMAN,Voltage-gated L-type calcium channel
_C0041_RAT,Voltage-gated L-type calcium channel
_C0043,Voltage-dependent T-type calcium channel
_C0043_HUMAN,Voltage-dependent T-type calcium channel
_C0043_RAT,Voltage-dependent T-type calcium channel
_C0046_RAT,"Glutamate receptor ionotropic, kainate"
_C0048,DNA topoisomerase 4
_C0048_BACSU,DNA topoisomerase 4
_C0048_CTAEQ,DNA topoisomerase 4
_C0048_ECOL55,DNA topoisomerase 4
_C0048_STAA0,DNA topoisomerase 4
_C0048_STRPN,DNA topoisomerase 4
_C0056_HUMAN,DNA topoisomerase II
_C0056_WOL,DNA topoisomerase II
_C0057,Coagulation factor III/coagulation factor VIIa complex
_C0058_BOVIN,Mitochondrial complex I (NADH dehydrogenase)
_C0063_TRYB2,Phosphoglycerate kinase
_C0064_HUMAN,"Troponin, cardiac muscle"
_C0065,IMMUNOPROTEASOME
_C0067,Ubiquitin carboxyl-terminal hydrolase 1/WD repeat-containing protein 48
_C0068,20S IMMUNOPROTEASOME
_C0068_RABIT,20S IMMUNOPROTEASOME
_C0070,Phosphorylase b kinase
C0HJB3,Alpha-mannosidase
C0IX24,Carbonic anhydrase
_C1058,cAMP-dependent protein kinase A
_C1058_BOVIN,cAMP-dependent protein kinase A
_C1058_HUMAN,cAMP-dependent protein kinase A
_C1058_RABIT,cAMP-dependent protein kinase A
_C1059,Tubulin
_C1059_BOVIN,Tubulin
_C1059_HUMAN,Tubulin
_C1059_PIG,Tubulin
_C1061_HUMAN,Coagulation factor VIIa/Coagulation factor III complex
C3TDZ2,3-oxoacyl-[acyl-carrier-protein] synthase 3
C4YTQ8,ATP-dependent molecular chaperone HSP82
C9DIG7,Dihydrofolate reductase
D6NSM8,Beta-lactamase
E1BKU0,Adenosine receptor A2
E2R9Z3,3-hydroxy-3-methylglutaryl coenzyme A reductase
E9LD23,Transporter
_F0002,5-hydroxytryptamine receptor
_F0002_HUMAN,5-hydroxytryptamine receptor
_F0002_RAT,5-hydroxytryptamine receptor
_F0003,5-hydroxytryptamine receptor 2
_F0003_CAVPO,5-hydroxytryptamine receptor 2
_F0003_HUMAN,5-hydroxytryptamine receptor 2
_F0003_RAT,5-hydroxytryptamine receptor 2
_F0006,Tyrosine-protein kinase ABL
_F0006_HUMAN,Tyrosine-protein kinase ABL
_F0006_MOUSE,Tyrosine-protein kinase ABL
_F0007,Acetyl-CoA acetyltransferase
_F0007_RAT,Acetyl-CoA acetyltransferase
_F0008,Acetyl-CoA carboxylase
_F0010,Adenylate cyclase
_F0010_MOUSE,Adenylate cyclase
_F0010_RAT,Adenylate cyclase
_F0014_HUMAN,Alpha-glucosidase
_F0015,Alpha-1 adrenergic receptor
_F0015_CAVPO,Alpha-1 adrenergic receptor
_F0015_HUMAN,Alpha-1 adrenergic receptor
_F0015_RAT,Alpha-1 adrenergic receptor
_F0016,Alpha-2 adrenergic receptor
_F0016_BOVIN,Alpha-2 adrenergic receptor
_F0016_CANLF,Alpha-2 adrenergic receptor
_F0016_CAVPO,Alpha-2 adrenergic receptor
_F0016_CRIGR,Alpha-2 adrenergic receptor
_F0016_HUMAN,Alpha-2 adrenergic receptor
_F0016_MONDO,Alpha-2 adrenergic receptor
_F0016_MOUSE,Alpha-2 adrenergic receptor
_F0016_RABIT,Alpha-2 adrenergic receptor
_F0016_RAT,Alpha-2 adrenergic receptor
_F0017_CAVPO,Adenosine receptor A2
_F0017_HUMAN,Adenosine receptor A2
_F0017_RAT,Adenosine receptor A2
_F0023,Beta-secretase
_F0032,Caspase
_F0032_HUMAN,Caspase
_F0041_APLI,Casein kinase I
_F0041_BOVIN,Casein kinase I
_F0041_HUMAN,Casein kinase I
_F0041_PIG,Casein kinase I
_F0041_TOXGO,Casein kinase I
_F0052,Deubiquitinating enzyme
_F0054_HHV,DNA polymerase
_F0054_HRSV,DNA polymerase
_F0054_VACC0,DNA polymerase
_F0061,Ubiquitin-protein ligase E3
_F0063_HUMAN,Elastase
_F0068,Mitogen-activated protein kinase
_F0068_MOUSE,Mitogen-activated protein kinase
_F0068_RAT,Mitogen-activated protein kinase
_F0070,Fibroblast growth factor receptor
_F0070_DUGJA,Fibroblast growth factor receptor
_F0070_HUMAN,Fibroblast growth factor receptor
_F0070_MOUSE,Fibroblast growth factor receptor
_F0070_PLEWA,Fibroblast growth factor receptor
_F0074,Glutaminase
_F0075_CAVPO,"Glutamate receptor ionotropic, NMDA"
_F0075_HUMAN,"Glutamate receptor ionotropic, NMDA"
_F0075_RAT,"Glutamate receptor ionotropic, NMDA"
_F0077,Glutamate dehydrogenase
_F0082,Glycogen synthase kinase-3
_F0082_HUMAN,Glycogen synthase kinase-3
_F0082_PIG,Glycogen synthase kinase-3
_F0085,Histone deacetylase
_F0085_HOPTI,Histone deacetylase
_F0085_HUMAN,Histone deacetylase
_F0085_RAT,Histone deacetylase
_F0091,Heat shock protein 90
_F0091_CACT,Heat shock protein 90
_F0091_HUMAN,Heat shock protein 90
_F0094_HUMAN,Inosine-5'-monophosphate dehydrogenase
_F0096,Isocitrate dehydrogenase [NADP]
_F0097,Janus kinase
_F0101,Lactate Dehydrogenase
_F0101_BOVIN,Lactate Dehydrogenase
_F0101_HUMAN,Lactate Dehydrogenase
_F0104_HUMAN,Liver X receptor
_F0108,Monocarboxylate transporter
_F0109,mitogen-activated protein kinase kinase
_F0115,Matrix metalloproteinase
_F0118,Muscarinic acetylcholine receptor
_F0118_BOVIN,Muscarinic acetylcholine receptor
_F0118_CAVPO,Muscarinic acetylcholine receptor
_F0118_HUMAN,Muscarinic acetylcholine receptor
_F0118_RAT,Muscarinic acetylcholine receptor
_F0122,NADPH oxidase
_F0130,Opioid receptor
_F0130_CAVPO,Opioid receptor
_F0130_HUMAN,Opioid receptor
_F0130_MOUSE,Opioid receptor
_F0130_RAT,Opioid receptor
_F0134_HUMAN,MAP kinase p38
_F0139,Phosphodiesterase 1
_F0139_BOVIN,Phosphodiesterase 1
_F0139_CANLF,Phosphodiesterase 1
_F0139_CAVPO,Phosphodiesterase 1
_F0139_HUMAN,Phosphodiesterase 1
_F0139_PIG,Phosphodiesterase 1
_F0139_RAT,Phosphodiesterase 1
_F0139_SHEEP,Phosphodiesterase 1
_F0140_CANLF,Phosphodiesterase 3
_F0140_CAVPO,Phosphodiesterase 3
_F0140_HUMAN,Phosphodiesterase 3
_F0140_RABIT,Phosphodiesterase 3
_F0140_SHEEP,Phosphodiesterase 3
_F0141_BOVIN,Phosphodiesterase 4
_F0141_CANLF,Phosphodiesterase 4
_F0141_CAVPO,Phosphodiesterase 4
_F0141_HUMAN,Phosphodiesterase 4
_F0141_MOUSE,Phosphodiesterase 4
_F0141_RAT,Phosphodiesterase 4
_F0143,Phosphodiesterase 7
_F0143_HUMAN,Phosphodiesterase 7
_F0145,Platelet-derived growth factor receptor
_F0145_HUMAN,Platelet-derived growth factor receptor
_F0145_MOUSE,Platelet-derived growth factor receptor
_F0145_RAT,Platelet-derived growth factor receptor
_F0146,Pyruvate dehydrogenase kinase
_F0152,cAMP-dependent protein kinase
_F0152_BOVIN,cAMP-dependent protein kinase
_F0152_FUNGI,cAMP-dependent protein kinase
_F0152_HUMAN,cAMP-dependent protein kinase
_F0152_MOUSE,cAMP-dependent protein kinase
_F0152_PIG,cAMP-dependent protein kinase
_F0152_RABIT,cAMP-dependent protein kinase
_F0153,Protein kinase C
_F0153_HUMAN,Protein kinase C
_F0153_MOUSE,Protein kinase C
_F0153_PIG,Protein kinase C
_F0153_RABIT,Protein kinase C
_F0153_RAT,Protein kinase C
_F0155,Voltage-gated potassium channel
_F0155_HUMAN,Voltage-gated potassium channel
_F0155_RABIT,Voltage-gated potassium channel
_F0155_RAT,Voltage-gated potassium channel
_F0156,Peroxisome proliferator-activated receptor
_F0156_HUMAN,Peroxisome proliferator-activated receptor
_F0164,Retinoic acid receptor
_F0164_HHV,Retinoic acid receptor
_F0164_HSV,Retinoic acid receptor
_F0164_HUMAN,Retinoic acid receptor
_F0164_MOUSE,Retinoic acid receptor
_F0164_NOTVI,Retinoic acid receptor
_F0164_RAT,Retinoic acid receptor
_F0165,Retinoic acid receptor RXR
_F0167_HUMAN,Rho-associated protein kinase
_F0174,Voltage-gated sodium channel
_F0174_HUMAN,Voltage-gated sodium channel
_F0174_RAT,Voltage-gated sodium channel
_F0176,Somatostatin receptor
_F0176_HUMAN,Somatostatin receptor
_F0181,Thyroid hormone receptor
_F0181_HUMAN,Thyroid hormone receptor
_F0182,Toll-like receptor
_F0186_HUMAN,Thioredoxin reductase
_F0187_HUMAN,Trypsin
_F0190,Ubiquitin-conjugating enzyme E2
_F0193,V-type ATPase
_F0193_HUMAN,V-type ATPase
_F0194_RAT,Vasopressin receptor
_F0196,Vascular endothelial growth factor receptor
_F0196_HUMAN,Vascular endothelial growth factor receptor
_F0203,Cholecystokinin receptor
_F0203_BOVIN,Cholecystokinin receptor
_F0203_CAVPO,Cholecystokinin receptor
_F0203_HUMAN,Cholecystokinin receptor
_F0203_RAT,Cholecystokinin receptor
_F0205,Alpha-secretase
_F0218,Cyclooxygenase
_F0218_BOVIN,Cyclooxygenase
_F0218_CANLF,Cyclooxygenase
_F0218_CAVPO,Cyclooxygenase
_F0218_CRIGR,Cyclooxygenase
_F0218_CRISP,Cyclooxygenase
_F0218_HUMAN,Cyclooxygenase
_F0218_MOUSE,Cyclooxygenase
_F0218_PAPHA,Cyclooxygenase
_F0218_RABIT,Cyclooxygenase
_F0218_RAT,Cyclooxygenase
_F0218_SHEEP,Cyclooxygenase
_F0222,Nuclear factor NF-kappa-B complex
_F0222_HUMAN,Nuclear factor NF-kappa-B complex
_F0227_BOVIN,Endothelin receptor
_F0227_HUMAN,Endothelin receptor
_F0227_RAT,Endothelin receptor
_F0235,Leukotriene Receptor B4
_F0235_MAMM,Leukotriene Receptor B4
_F0244,"Glutamate receptor ionotropic, AMPA"
_F0244_MOUSE,"Glutamate receptor ionotropic, AMPA"
_F0244_RAT,"Glutamate receptor ionotropic, AMPA"
_F0245_CAVPO,ATP-sensitive potassium channel
_F0245_PIG,ATP-sensitive potassium channel
_F0247_HUMAN,Adenosine receptor
_F0247_RAT,Adenosine receptor
_F0249_CANLF,alpha Adrenergic receptor
_F0249_HUMAN,alpha Adrenergic receptor
_F0249_RABIT,alpha Adrenergic receptor
_F0249_RAT,alpha Adrenergic receptor
_F0261,Neuropeptide Y Receptor
_F0263,Nicotinic acetylcholine receptor
_F0263_HUMAN,Nicotinic acetylcholine receptor
_F0263_RAT,Nicotinic acetylcholine receptor
_F0263_TORP,Nicotinic acetylcholine receptor
_F0266,Protein kinase B
_F0266_HUMAN,Protein kinase B
_F0274,Chloride Channel
_F0274_HUMAN,Chloride Channel
_F0276,Guanylate cyclase
_F0278_HUMAN,Glutathione S-transferase
_F0278_PLAF1,Glutathione S-transferase
_F0282_HUMAN,Cytochrome P450
_F0282_RAT,Cytochrome P450
_F0284,Gamma-aminobutyric acid receptor
_F0284_RAT,Gamma-aminobutyric acid receptor
_F0287,Calcium-activated potassium channel
_F0287_HUMAN,Calcium-activated potassium channel
_F0288,Estrogen receptor
_F0288_BOVIN,Estrogen receptor
_F0288_HUMAN,Estrogen receptor
_F0288_PIG,Estrogen receptor
_F0288_RABIT,Estrogen receptor
_F0288_RAT,Estrogen receptor
_F0291,Melatonin receptor
_F0291_CHICK,Melatonin receptor
_F0291_HUMAN,Melatonin receptor
_F0291_QUAIL,Melatonin receptor
_F0291_RABIT,Melatonin receptor
_F0291_SHEEP,Melatonin receptor
_F0292,Angiotensin II receptor (AT-1) type-1
_F0292_RAT,Angiotensin II receptor (AT-1) type-1
_F0293_CAVPO,Cysteinyl leukotriene receptor
_F0294_CAVPO,"Sodium channel alpha subunits; brain (Types I, II, III)"
_F0294_HUMAN,"Sodium channel alpha subunits; brain (Types I, II, III)"
_F0294_RAT,"Sodium channel alpha subunits; brain (Types I, II, III)"
_F0295,Carbonic anhydrase
_F0295_HUMAN,Carbonic anhydrase
_F0295_RABIT,Carbonic anhydrase
_F0297_HUMAN,5-hydroxytryptamine receptor 3
_F0297_RAT,5-hydroxytryptamine receptor 3
_F0309_HUMAN,Steroid 5-alpha-reductase
_F0309_RAT,Steroid 5-alpha-reductase
_F0315,Dopamine receptor
_F0315_BOVIN,Dopamine receptor
_F0315_CANLF,Dopamine receptor
_F0315_CAVPO,Dopamine receptor
_F0315_HUMAN,Dopamine receptor
_F0315_MACNE,Dopamine receptor
_F0315_MOUSE,Dopamine receptor
_F0315_PIG,Dopamine receptor
_F0315_RABIT,Dopamine receptor
_F0315_RAT,Dopamine receptor
_F0316,Angiotensin II receptor
_F0316_HUMAN,Angiotensin II receptor
_F0316_RABIT,Angiotensin II receptor
_F0316_RAT,Angiotensin II receptor
_F0317,PI3-kinase class I
_F0317_HUMAN,PI3-kinase class I
_F0318,Cannabinoid receptor
_F0318_HUMAN,Cannabinoid receptor
_F0318_RAT,Cannabinoid receptor
_F0326,C-C chemokine receptor
_F0326_HUMAN,C-C chemokine receptor
_F0340_HUMAN,Adrenergic receptor
_F0344_HUMAN,Cytochrome P450 1A
_F0346_HUMAN,Cannabinoid transporter
_F0348_HUMAN,Carbonyl reductase
_F0353,Metallopeptidase
_F0361_BOVIN,Heart phosphodiesterase
_F0364_RAT,Neuronal nicotinic acetylcholine receptor
_F0371,Sodium channel
_F0371_CANLF,Sodium channel
_F0371_HUMAN,Sodium channel
_F0371_RAT,Sodium channel
_F0372_HUMAN,Polyamine transporter
_F0377,Carnitine palmitoyltransferase 1
_F0380,Protein kinase
_F0381_HUMAN,Tachykinin receptor
_F0382,Tyrosine-protein kinase
_F0384_RAT,Acetylcholine receptor
_F0384_TETCF,Acetylcholine receptor
_F0389,Transforming growth factor beta receptor
_F0397,Casein kinase
_F0399,Solute carrier family 12
_F0409_MOUSE,Interferon gamma receptor
_F0413_MOUSE,Equilibrative nucleoside transporter
_F0420,Acetylcholinesterase
_F0422_CAVPO,Angiotensin-converting enzyme
_F0423,"ATP-binding cassette, sub-family C (CFTR/MRP)"
_F0444,Neuraminidase
_F0444_9INFA,Neuraminidase
_F0462_FUNGI,Tyrosinase
_F0470,Calcium channel
_F0470_CAVPO,Calcium channel
_F0470_HUMAN,Calcium channel
_F0470_RABIT,Calcium channel
_F0470_RAT,Calcium channel
_F0472,Phosphatidylinositol 3-kinase
_F0472_HUMAN,Phosphatidylinositol 3-kinase
_F0477,Fatty acid synthase
_F0479_HCV,NS3 protein
_F0481_TRYB2,Lanosterol 14-alpha demethylase
_F0487_HUMAN,Thymidylate synthase
_F0491,Cathepsin L
_F0493,"Farnesyltransferase, CAAX box"
_F0493_HUMAN,"Farnesyltransferase, CAAX box"
_F0494,Ribosomal protein S6 kinase beta
_F0495_HUMAN,Sphingosine kinase
_F0496_HUMAN,Aldose Reductase
_F0497_PIG,Triacylglycerol lipase
_F0498_ASPFM,Chitinase
_F0499_HUMAN,Phosphodiesterase 8
_F0621,Cyclin-dependent kinase
_F0896_HUMAN,Potassium voltage-gated channel subfamily H
_F0941_CAIMO,Thyroid hormone receptor
_F0941_HUMAN,Thyroid hormone receptor
_F0958,Epidermal growth factor receptor
_F0958_HUMAN,Epidermal growth factor receptor
_F0979_HUMAN,Platelet-derived growth factor receptor
_F0979_MOUSE,Platelet-derived growth factor receptor
_F0980_DUGJA,Fibroblast growth factor receptor
_F0980_HUMAN,Fibroblast growth factor receptor
_F0980_MOUSE,Fibroblast growth factor receptor
_F0980_PLEWA,Fibroblast growth factor receptor
F1LQ70,Polyunsaturated fatty acid lipoxygenase ALOX12
F1MGM3,5-hydroxytryptamine receptor 1B
F1PSJ0,Histamine receptor H3
F1RRW5,Angiotensin-converting enzyme
F1RYX4,Dopamine receptor D4
F1SC83,Cytochrome P450 26A1 isoform 1
_F2212_HUMAN,Caspase
_F2218,Calpain
_F2218_HUMAN,Calpain
_F2229_HUMAN,Proteasome
_F2229_MOUSE,Proteasome
_F2262_ARTBE,Pepsin
_F2262_RHIFE,Pepsin
_F2262_SORUN,Pepsin
_F2262_SUNMU,Pepsin
_F3249,Phospholipase A2
_F3249_HUMAN,Phospholipase A2
_F3249_MOUSE,Phospholipase A2
_F3249_PIG,Phospholipase A2
_F3249_RAT,Phospholipase A2
_F3250_RAT,Vasopressin V1 receptor
_F3252,Protease
_F3252_9HEPC,Protease
_F3253_HUMAN,Adenylate kinase
_F3253_RAT,Adenylate kinase
_F3254,Tau tubulin kinase
_F3254_HUMAN,Tau tubulin kinase
_F3255,"Glutamate ionotropic receptor, NMDA"
F6QI78,5-hydroxytryptamine receptor 2B
F7A0F2,"Solute carrier family 39 (zinc transporter), member 2"
F7J0V8,Prostaglandin G/H synthase
G1SK44,Transporter
G1SU84,Nischarin
G1T1Q0,Dopamine receptor D2
G1TAV7,Adrenoceptor beta 2
G1TWL8,Histamine receptor H2
G1U308,Muscarinic acetylcholine receptor
G3H1Y1,Delta-type opioid receptor
G3H2I9,D(2) dopamine receptor
G3HA64,Muscarinic acetylcholine receptor
G3HDX1,Alpha-1B adrenergic receptor
G5EF15,Cytoplasmic zinc-finger protein
G7ZKZ7,5-hydroxytryptamine (Serotonin) receptor 2C long isoform
G8GLL2,Dihydrofolate reductase
H0UWL7,Angiotensin-converting enzyme
H0UY61,Transporter
H0V9X9,Prostaglandin-endoperoxide synthase 1
H0VD23,Phosphodiesterase
H0VD44,Phosphodiesterase
H0VE83,Dopamine receptor D2
H0VZC5,Cholecystokinin B receptor
H0W1Z3,Muscarinic acetylcholine receptor
H0W3H1,G_PROTEIN_RECEP_F1_2 domain-containing protein
H0W7K7,Muscarinic acetylcholine receptor
H0WAY8,Cannabinoid receptor 1
H0WBQ9,Adrenoceptor alpha 1B
H6TY12,Nicotinic acetylcholine receptor alpha8 subunit
H9TB17,Aldehyde oxidase 1
H9TVJ1,TyR1
I3L8T6,D(1A) dopamine receptor
I3LCE8,G_PROTEIN_RECEP_F1_2 domain-containing protein
I3LEI5,Carboxylic ester hydrolase
I6YP72,Glycogen synthase kinase 3 beta variant 2
K7GSR7,5-hydroxytryptamine receptor 2C
K9N5Q8,Spike glycoprotein
K9N7C7,Replicase polyprotein 1ab
M1ECR2,"Adrenergic, beta-3-, receptor"
O00141,Serine/threonine-protein kinase Sgk1
O00167,Eyes absent homolog 2
O00206,Toll-like receptor 4
O00222,Metabotropic glutamate receptor 8
O00238,Bone morphogenetic protein receptor type-1B
O00255,Menin
O00264,Membrane-associated progesterone receptor component 1
O00311,Cell division cycle 7-related protein kinase
O00329,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"
O00337,Sodium/nucleoside cotransporter 1
O00391,Sulfhydryl oxidase 1
O00408,"cGMP-dependent 3',5'-cyclic phosphodiesterase"
O00418,Eukaryotic elongation factor 2 kinase
O00443,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha
O00444,Serine/threonine-protein kinase PLK4
O00459,Phosphatidylinositol 3-kinase regulatory subunit beta
O00482,Nuclear receptor subfamily 5 group A member 2
O00487,26S proteasome non-ATPase regulatory subunit 14
O00506,Serine/threonine-protein kinase 25
O00519,Fatty-acid amide hydrolase 1
O00555,Voltage-dependent P/Q-type calcium channel subunit alpha-1A
O00571,ATP-dependent RNA helicase DDX3X
O00591,Gamma-aminobutyric acid receptor subunit pi
O00748,Cocaine esterase
O00750,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta
O00764,Pyridoxal kinase
O00767,Acyl-CoA desaturase
O02604,Bifunctional dihydrofolate reductase-thymidylate synthase
O02667,Adenosine receptor A3
O04417,Calcium dependent protein kinase
O08756,3-hydroxyacyl-CoA dehydrogenase type-2
O08892,5-hydroxytryptamine receptor 1B
O13383,"1,3-beta-D-glucan synthase catalytic subunit"
O14578,Citron Rho-interacting kinase
O14638,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3
O14649,Potassium channel subfamily K member 3
O14684,Prostaglandin E synthase
O14727,Apoptotic protease-activating factor 1
O14730,Serine/threonine-protein kinase RIO3
O14733,Dual specificity mitogen-activated protein kinase kinase 7
O14746,Telomerase reverse transcriptase
O14757,Serine/threonine-protein kinase Chk1
O14764,Gamma-aminobutyric acid receptor subunit delta
O14815,Calpain-9
O14818,Proteasome subunit alpha type-7
O14842,Free fatty acid receptor 1
O14843,Free fatty acid receptor 3
O14920,Inhibitor of nuclear factor kappa-B kinase subunit beta
O14936,Peripheral plasma membrane protein CASK
O14939,Phospholipase D2
O14965,Aurora kinase A
O14976,Cyclin-G-associated kinase
O14980,Exportin-1
O14983,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1
O15056,Synaptojanin-2
O15075,Serine/threonine-protein kinase DCLK1
O15111,Inhibitor of nuclear factor kappa-B kinase subunit alpha
O15120,1-acyl-sn-glycerol-3-phosphate acyltransferase beta
O15121,Sphingolipid delta(4)-desaturase DES1
O15146,"Muscle, skeletal receptor tyrosine-protein kinase"
O15151,Protein Mdm4
O15197,Ephrin type-B receptor 6
O15244,Solute carrier family 22 member 2
O15245,Solute carrier family 22 member 1
O15254,Peroxisomal acyl-coenzyme A oxidase 3
O15264,Mitogen-activated protein kinase 13
O15294,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit
O15296,Arachidonate 15-lipoxygenase B
O15303,Metabotropic glutamate receptor 6
O15305,Phosphomannomutase 2
O15379,Histone deacetylase 3
O15399,"Glutamate receptor ionotropic, NMDA 2D"
O15427,Monocarboxylate transporter 4
O15438,Canalicular multispecific organic anion transporter 2
O15439,Multidrug resistance-associated protein 4
O15440,Multidrug resistance-associated protein 5
O15527,N-glycosylase/DNA lyase
O15528,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial"
O15530,3-phosphoinositide-dependent protein kinase 1
O15552,Free fatty acid receptor 2
O15554,Intermediate conductance calcium-activated potassium channel protein 4
O15648,ATP-dependent 6-phosphofructokinase
O19067,N-methyl-D-aspartate receptor
O19175,Casein kinase I isoform alpha
O30463,Dihydrofolate reductase
O32393,Adenylate cyclase
O35505,Voltage-dependent L-type calcium channel subunit alpha-1C
O35899,Sodium-dependent serotonin transporter
O40947,ORF 73
O42275,Acetylcholinesterase
O42316,D1A4 Dopamine receptor
O42713,Polyphenol oxidase 2
O43174,Cytochrome P450 26A1
O43175,D-3-phosphoglycerate dehydrogenase
O43283,Mitogen-activated protein kinase kinase kinase 13
O43293,Death-associated protein kinase 3
O43318,Mitogen-activated protein kinase kinase kinase 7
O43353,Receptor-interacting serine/threonine-protein kinase 2
O43426,Synaptojanin-1
O43451,"Maltase-glucoamylase, intestinal"
O43497,Voltage-dependent T-type calcium channel subunit alpha-1G
O43526,Potassium voltage-gated channel subfamily KQT member 2
